,Optimal_threshold,Accuracy,Sensitivity,Specificity,AUC_ROC,Model_name
150,1.5158633128374426,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-0.01
151,1.5237791773277638,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-0.1
152,1.5087997778726057,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-1.0
153,1.5134946189878973,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-10.0
154,1.5134946189878973,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-100.0
155,1.5237791773277638,0.5,0.0,1.0,0.5,SVM_C-1000000000.0_Gamma-1000.0
156,0.5,0.9375,0.875,1.0,0.96875,SVM_C-10000000000.0_Gamma-1e-09
157,0.5,0.9375,0.875,1.0,0.96875,SVM_C-10000000000.0_Gamma-1e-08
158,0.5,0.9375,0.875,1.0,0.96875,SVM_C-10000000000.0_Gamma-1e-07
159,0.5193558817870113,0.9375,0.875,1.0,0.96875,SVM_C-10000000000.0_Gamma-1e-06
160,0.5841195454662013,0.875,0.75,1.0,0.9375,SVM_C-10000000000.0_Gamma-1e-05
161,1.5688482070681606,0.5,0.0,1.0,0.0625,SVM_C-10000000000.0_Gamma-0.0001
162,1.5237791773277638,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-0.001
163,1.5,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-0.01
164,1.5,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-0.1
165,1.5134946189878973,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-1.0
166,1.514534934860356,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-10.0
167,1.5268466562657603,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-100.0
168,1.5123228832551157,0.5,0.0,1.0,0.5,SVM_C-10000000000.0_Gamma-1000.0
